filename,label,confidence,angle_deg,aspect_ratio,note
depositphotos_14568159-stock-photo-hip-hop-man-dancing.jpg,standing,0.7562,46.12,0.651,angle+aspect suggest standing
Eopsaltria_australis_-_Mogo_Campground.jpg,no_person_detected,0.0000,,,no pose found
gettyimages-136811202-612x612.jpg,lying,0.5547,13.36,0.890,angle suggests lying
j2cubsb5ihjh47wpnd3pvmpgcr8r.jpg,lying,0.5000,30.53,1.606,aspect suggests lying
senior-man-fallen-on-stairs-in-suburban-home-usa-PX1D8D.jpg,lying,0.5000,37.72,1.397,aspect suggests lying
pexels-photo-1701194.jpeg,standing,0.9328,77.91,0.504,angle+aspect suggest standing
cheerful-african-man-dancing-tiptoes-copy-michael-jackson-style-yellow-studio-background-young-157477703.png,standing,0.9487,80.77,0.585,angle+aspect suggest standing
elderly-senior-man-slip-fall-260nw-2310310297.png,lying,0.7264,13.64,1.998,angle+aspect agree
Image-for-Article-2.png,lying,0.7882,20.59,2.672,angle+aspect agree
young-man-dancing-36841990.png,standing,0.8449,76.03,1.183,angle+aspect suggest standing
